State,Crop,Season,Soil_Type,Area,Production,Rainfall,Temperature,Humidity,Nitrogen,Phosphorus,Potassium
Gujarat,Peas,Summer,Red,3900.66,60088.87,318.58,23.37,36.5,79.7,33.36,20.0
Telangana,Watermelon,Rabi,Sandy,13.89,253.89,496.5,28.52,69.76,20.92,11.61,46.73
Jharkhand,Guava,Whole Year,Loamy,2285.79,30962.48,403.33,15.99,63.43,97.01,13.25,52.53
Rajasthan,Rice,Whole Year,Laterite,2206.36,32956.5,104.92,24.86,32.24,138.21,28.11,56.38
Arunachal Pradesh,Soybean,Rabi,Black,2842.82,28350.74,64.09,35.27,59.23,71.37,74.87,60.91
West Bengal,Cauliflower,Kharif,Clay,1364.03,18919.31,422.93,20.7,48.26,90.55,19.86,66.15
Andhra Pradesh,Apple,Summer,Alluvial,3863.5,30316.31,139.42,10.17,83.0,111.89,61.03,63.99
Himachal Pradesh,Guava,Summer,Alluvial,3120.26,27492.73,198.9,11.91,50.21,62.27,61.07,54.63
Uttarakhand,Sesame,Kharif,Red,606.78,8395.96,370.96,32.82,66.48,120.23,44.57,46.59
Madhya Pradesh,Cashew,Summer,Alluvial,1578.64,17681.92,278.86,37.23,46.2,73.35,62.89,26.02
Gujarat,Ginger,Whole Year,Black,3125.53,27662.14,183.04,13.16,59.67,48.4,39.16,71.83
Tripura,Cabbage,Rabi,Alluvial,1367.94,14484.41,341.46,10.02,52.92,59.62,21.53,47.39
Chhattisgarh,Rubber,Summer,Black,1694.7,23920.55,474.31,19.7,63.72,111.39,35.45,78.02
Mizoram,Potato,Summer,Alluvial,4883.31,48253.62,234.97,10.99,52.43,102.47,57.65,47.17
Uttar Pradesh,Cashew,Rabi,Loamy,3363.96,45149.75,392.73,17.13,77.33,67.81,54.26,54.35
Andhra Pradesh,Sorghum,Whole Year,Red,940.73,11335.63,68.35,27.73,74.04,22.16,45.85,25.85
Gujarat,Brinjal,Kharif,Loamy,4684.28,62473.59,111.88,20.23,37.38,140.21,71.41,28.06
Tripura,Beetroot,Rabi,Alluvial,474.58,7019.49,453.75,37.01,71.15,64.07,34.44,60.82
Assam,Chili,Whole Year,Sandy,3901.58,48898.5,338.91,12.52,40.51,136.81,52.45,10.64
Nagaland,Spinach,Rabi,Black,3462.56,44218.39,343.38,16.73,76.29,50.84,32.78,62.25
Haryana,Barley,Summer,Alluvial,1547.22,27342.76,294.14,25.26,71.36,52.56,51.29,78.52
Uttarakhand,Coconut,Kharif,Sandy,3229.07,41495.56,351.02,35.93,44.96,84.9,50.04,63.8
Mizoram,Watermelon,Whole Year,Sandy,4770.1,76784.59,461.69,21.1,31.0,140.68,39.97,77.67
Tamil Nadu,Rubber,Whole Year,Red,855.77,7703.87,300.56,38.08,75.24,94.11,16.8,53.05
Sikkim,Banana,Rabi,Loamy,2596.46,42986.03,444.82,32.22,75.31,111.32,35.16,30.55
Tripura,Mango,Kharif,Laterite,2561.6,34136.81,275.68,33.95,72.25,111.26,65.71,72.3
Tamil Nadu,Coffee,Whole Year,Black,478.97,4970.17,310.23,11.08,60.26,90.54,30.06,51.36
West Bengal,Castor,Kharif,Clay,1365.0,27826.95,484.36,23.72,84.73,45.27,38.79,58.97
Haryana,Jute,Kharif,Black,2586.34,26458.23,195.33,33.86,47.6,77.07,15.49,11.77
Uttar Pradesh,Wheat,Summer,Black,1206.54,14562.91,92.24,15.49,90.75,102.98,46.17,56.0
Chhattisgarh,Ginger,Kharif,Loamy,248.1,3355.14,304.72,14.76,37.81,64.44,16.43,16.59
Bihar,Rubber,Rabi,Sandy,3252.37,27919.96,71.63,38.47,87.63,53.92,11.07,75.34
Andhra Pradesh,Cotton,Kharif,Laterite,3083.1,37732.94,474.75,38.33,86.37,102.73,66.07,57.4
Odisha,Pumpkin,Kharif,Laterite,1936.65,28430.54,482.54,37.16,42.73,29.02,17.05,11.28
Odisha,Carrot,Summer,Loamy,365.23,4453.12,193.54,35.35,31.51,125.88,29.73,18.27
Telangana,Linseed,Kharif,Clay,4838.23,85681.55,296.59,22.7,66.95,94.87,61.22,18.94
Mizoram,Cabbage,Whole Year,Loamy,4654.48,91462.53,436.29,22.87,78.81,118.09,17.22,73.18
Sikkim,Sunflower,Summer,Red,1952.12,15597.56,54.88,37.16,35.93,61.51,76.5,76.54
Odisha,Okra,Whole Year,Clay,467.6,7789.72,321.1,26.61,43.83,143.01,64.69,17.94
Karnataka,Onion,Summer,Laterite,3443.27,56848.46,426.63,36.01,84.5,75.39,25.58,37.77
Uttarakhand,Rice,Kharif,Clay,433.34,7325.5,493.99,21.23,54.09,125.66,76.31,79.02
Odisha,Watermelon,Rabi,Loamy,2126.87,34545.5,457.86,13.34,62.02,21.48,42.81,13.94
West Bengal,Millet,Kharif,Loamy,3249.56,55637.38,385.72,27.5,92.54,68.73,30.0,70.8
Chhattisgarh,Linseed,Summer,Red,4846.82,71476.12,285.39,28.88,75.22,79.09,53.93,50.9
Meghalaya,Banana,Kharif,Red,1412.01,15950.4,477.69,36.71,59.62,100.62,29.42,23.17
Nagaland,Guava,Whole Year,Clay,4872.23,79126.72,493.79,30.94,64.85,60.24,66.97,57.93
Madhya Pradesh,Spinach,Summer,Clay,4703.25,66427.57,237.49,27.43,89.75,30.76,71.37,48.61
Sikkim,Wheat,Rabi,Loamy,760.58,10325.9,317.36,21.43,93.04,129.48,68.68,42.81
Assam,Wheat,Kharif,Loamy,4324.96,50019.82,415.81,39.99,94.78,92.21,63.83,76.13
Maharashtra,Sorghum,Rabi,Alluvial,4770.71,69269.19,322.78,16.86,73.66,100.36,35.07,17.95
Uttar Pradesh,Coconut,Rabi,Sandy,4158.54,29599.21,188.5,34.49,92.92,31.49,65.43,51.3
Chhattisgarh,Turmeric,Rabi,Black,4027.17,66273.08,456.42,28.52,93.73,99.05,54.57,48.84
Odisha,Coconut,Whole Year,Alluvial,2574.81,43195.21,402.64,21.9,70.44,132.11,76.47,20.3
West Bengal,Chili,Whole Year,Clay,4900.36,74558.03,271.68,19.86,71.17,51.22,15.31,19.02
Tamil Nadu,Jute,Summer,Red,702.75,8846.5,338.39,15.46,52.47,136.58,43.18,56.73
Odisha,Turmeric,Kharif,Black,1400.17,11615.42,129.65,12.66,37.84,79.9,24.44,35.5
Maharashtra,Grapes,Kharif,Red,206.17,3687.98,409.73,28.84,35.31,133.57,74.46,14.28
Mizoram,Sesame,Kharif,Laterite,1054.65,14906.91,216.71,24.54,70.19,67.96,42.38,62.32
Maharashtra,Barley,Summer,Loamy,4223.76,46541.37,387.33,10.91,86.37,66.04,37.8,17.34
Gujarat,Potato,Summer,Sandy,1644.21,16008.59,103.89,36.72,68.58,108.28,65.24,44.89
Manipur,Linseed,Summer,Sandy,2938.34,41404.01,385.45,22.95,38.29,56.89,35.42,55.21
Madhya Pradesh,Soybean,Kharif,Alluvial,1193.76,12753.28,95.8,14.59,45.99,40.89,23.06,29.96
